distance_horizontal,distance_path,distance_vertical,duration,end_location_lat,end_location_lng,mode,start_location_lat,start_location_lng
4216.0,8608.0,101.33212280273438,941.0,48.4948717,9.095148199999999,driving,48.52028079999999,9.0528069
4149.0,8152.0,97.19027709960938,919.0,48.4969647,9.0966503,driving,48.52028079999999,9.0528069
3969.0,8509.0,99.42242431640625,886.0,48.4980316,9.0948126,driving,48.52028079999999,9.0528069
3955.0,8235.0,99.76153564453125,925.0,48.4987134,9.0953666,driving,48.52028079999999,9.0528069
3821.0,7803.0,96.32745361328125,815.0,48.5003065,9.0948862,driving,48.52028079999999,9.0528069
3845.0,7764.0,96.18292236328125,812.0,48.5004042,9.0953807,driving,48.52028079999999,9.0528069
3898.0,7677.0,95.42559814453125,807.0,48.5006504,9.096510799999999,driving,48.52028079999999,9.0528069
3958.0,7559.0,91.88595581054688,813.0,48.5017681,9.0985546,driving,48.52028079999999,9.0528069
3599.0,5882.0,65.65878295898438,692.0,48.50854320000001,9.098200499999999,driving,48.52028079999999,9.0528069
3484.0,5765.0,58.971038818359375,687.0,48.5091538,9.0968965,driving,48.52028079999999,9.0528069
3392.0,5672.0,54.20208740234375,683.0,48.5095404,9.0957777,driving,48.52028079999999,9.0528069
3330.0,5610.0,51.04739379882818,681.0,48.5097786,9.0950189,driving,48.52028079999999,9.0528069
3278.0,5937.0,39.74072265625,881.0,48.5105793,9.0947096,driving,48.52028079999999,9.0528069
3223.0,5883.0,34.69775390625,875.0,48.5107223,9.0939976,driving,48.52028079999999,9.0528069
3360.0,7503.0,81.86166381835938,1041.0,48.51447169999999,9.0974341,driving,48.52028079999999,9.0528069
3316.0,7438.0,77.27786254882818,1022.0,48.5149791,9.0969828,driving,48.52028079999999,9.0528069
3317.0,7426.0,75.01422119140625,1019.0,48.5150863,9.0970173,driving,48.52028079999999,9.0528069
2867.0,5616.0,-19.767822265625,698.0,48.5186443,9.0915407,driving,48.52028079999999,9.0528069
2917.0,5722.0,-20.178436279296818,702.0,48.5194636,9.0922769,driving,48.52028079999999,9.0528069
2968.0,5839.0,-19.30078125,706.0,48.52040359999999,9.0929875,driving,48.52028079999999,9.0528069
3024.0,5961.0,-20.096038818359432,710.0,48.521398,9.0937073,driving,48.52028079999999,9.0528069
3116.0,6459.0,-22.681793212890625,761.0,48.522416,9.094863799999999,driving,48.52028079999999,9.0528069
3100.0,5825.0,-21.896575927734432,819.0,48.5234574,9.0945009,driving,48.52028079999999,9.0528069
3095.0,4706.0,-23.343475341796818,789.0,48.5256972,9.0939075,driving,48.52028079999999,9.0528069
3177.0,4799.0,-23.640350341796818,806.0,48.52623879999999,9.094870799999999,driving,48.52028079999999,9.0528069
3207.0,14069.0,-23.7987060546875,1543.0,48.52758439999999,9.094802,driving,48.52028079999999,9.0528069
3244.0,4757.0,-23.488037109375,789.0,48.5289103,9.094756799999999,driving,48.52028079999999,9.0528069
3287.0,4693.0,-18.71392822265625,855.0,48.53024780000001,9.0947008,driving,48.52028079999999,9.0528069
3315.0,4526.0,43.60498046875,797.0,48.5318365,9.094172799999999,driving,48.52028079999999,9.0528069
3374.0,4620.0,44.719085693359375,820.0,48.5325452,9.094583199999999,driving,48.52028079999999,9.0528069
3373.0,4749.0,49.23583984375,796.0,48.5338948,9.093616599999999,driving,48.52028079999999,9.0528069
3475.0,4644.0,51.35601806640625,773.0,48.53567409999999,9.0937511,driving,48.52028079999999,9.0528069
3587.0,5094.0,50.417205810546875,864.0,48.5367398,9.0945692,driving,48.52028079999999,9.0528069
3649.0,4962.0,66.37841796875,829.0,48.5378661,9.094516400000002,driving,48.52028079999999,9.0528069
3702.0,4823.0,80.37274169921875,790.0,48.5390984,9.0941563,driving,48.52028079999999,9.0528069
3775.0,4821.0,89.83285522460938,788.0,48.5397772,9.094653,driving,48.52028079999999,9.0528069
3883.0,4909.0,104.3460693359375,743.0,48.5422835,9.0936323,driving,48.52028079999999,9.0528069
3982.0,5021.0,107.90591430664057,749.0,48.5432032,9.0942287,driving,48.52028079999999,9.0528069
4101.0,5149.0,110.41851806640625,756.0,48.5442073,9.0950626,driving,48.52028079999999,9.0528069
4139.0,5297.0,117.20034790039057,771.0,48.5458013,9.0936024,driving,48.52028079999999,9.0528069
4148.0,7832.0,104.95068359375,986.0,48.4944046,9.0932479,driving,48.52028079999999,9.0528069
3842.0,8336.0,104.8607177734375,884.0,48.497344,9.0916889,driving,48.52028079999999,9.0528069
3859.0,8351.0,102.97476196289057,872.0,48.4978687,9.092687,driving,48.52028079999999,9.0528069
3728.0,8008.0,98.97183227539057,829.0,48.4994958,9.092395,driving,48.52028079999999,9.0528069
3756.0,7939.0,97.94631958007818,824.0,48.4997952,9.093218,driving,48.52028079999999,9.0528069
3781.0,7874.0,96.84881591796875,820.0,48.5000829,9.0939725,driving,48.52028079999999,9.0528069
3545.0,8381.0,101.67184448242188,896.0,48.5004393,9.0903545,driving,48.52028079999999,9.0528069
3545.0,8381.0,101.67184448242188,896.0,48.5004393,9.0903545,driving,48.52028079999999,9.0528069
3374.0,5654.0,53.54776000976557,683.0,48.5096083,9.095563199999999,driving,48.52028079999999,9.0528069
3297.0,5576.0,48.93255615234375,679.0,48.5099069,9.094608899999999,driving,48.52028079999999,9.0528069
3245.0,5524.0,45.8043212890625,677.0,48.51010220000001,9.0939684,driving,48.52028079999999,9.0528069
3186.0,5465.0,42.48867797851557,675.0,48.5103216,9.0932355,driving,48.52028079999999,9.0528069
3130.0,8603.0,37.402587890625,834.0,48.5106604,9.0926219,driving,48.52028079999999,9.0528069
3086.0,5745.0,22.211334228515568,859.0,48.5112081,9.0922764,driving,48.52028079999999,9.0528069
3075.0,5734.0,21.202545166015568,858.0,48.5112237,9.0921374,driving,48.52028079999999,9.0528069
2704.0,5351.0,-18.683807373046818,729.0,48.5155845,9.0887248,driving,48.52028079999999,9.0528069
2778.0,5454.0,-20.231414794921818,693.0,48.5175077,9.0901816,driving,48.52028079999999,9.0528069
2830.0,5544.0,-20.252227783203125,696.0,48.5181207,9.0909727,driving,48.52028079999999,9.0528069
2885.0,5651.0,-19.816162109375,700.0,48.5189117,9.0918002,driving,48.52028079999999,9.0528069
2939.0,5771.0,-19.78900146484375,704.0,48.5198581,9.0925879,driving,48.52028079999999,9.0528069
2985.0,5801.0,-18.94287109375,786.0,48.52095550000001,9.0931994,driving,48.52028079999999,9.0528069
2956.0,5626.0,-18.787261962890625,771.0,48.52239429999999,9.0927008,driving,48.52028079999999,9.0528069
2988.0,4858.0,-22.996002197265625,826.0,48.5234684,9.0929685,driving,48.52028079999999,9.0528069
2992.0,4587.0,-20.23223876953125,767.0,48.5249883,9.09269,driving,48.52028079999999,9.0528069
