,distance_horizontal,distance_path,distance_vertical,distance_vertical_abs,distance_vertical_neg,distance_vertical_pos,duration,end_location_lat,end_location_lng,mode,start_location_lat,start_location_lng,isWalking,isBicycling,resid_combi_abs,resid_horiz
0,4216.0,8608.0,101.33212280273438,101.33212280273438,0.0,101.33212280273438,941.0,48.4948717,9.0951482,driving,48.52028079999999,9.0528069,False,False,-199.3384543156394,-181.63171938643836
1,4149.0,8152.0,97.19027709960938,97.19027709960938,0.0,97.19027709960938,919.0,48.49696470000001,9.0966503,driving,48.52028079999999,9.0528069,False,False,-200.85542964309525,-185.79103504135037
2,3969.0,8509.0,99.42242431640624,99.42242431640624,0.0,99.42242431640624,886.0,48.4980316,9.0948126,driving,48.52028079999999,9.0528069,False,False,-191.28588641823944,-170.86083829335257
3,3955.0,8235.0,99.76153564453124,99.76153564453124,0.0,99.76153564453124,925.0,48.49871339999999,9.0953666,driving,48.52028079999999,9.0528069,False,False,-149.12927226364354,-128.13293410184156
4,3821.0,7803.0,96.32745361328124,96.32745361328124,0.0,96.32745361328124,815.0,48.5003065,9.0948862,driving,48.52028079999999,9.0528069,False,False,-222.68611901216832,-202.45156541166534
5,3845.0,7764.0,96.18292236328124,96.18292236328124,0.0,96.18292236328124,812.0,48.5004042,9.095380699999998,driving,48.52028079999999,9.0528069,False,False,-231.50483307838385,-211.84225831139838
6,3898.0,7677.0,95.42559814453124,95.42559814453124,0.0,95.42559814453124,807.0,48.5006504,9.0965108,driving,48.52028079999999,9.0528069,False,False,-248.94586005905035,-230.9550384649756
7,3958.0,7559.0,91.88595581054688,91.88595581054688,0.0,91.88595581054688,813.0,48.50176810000001,9.0985546,driving,48.52028079999999,9.0528069,False,False,-254.52845083107877,-240.9317707143082
8,3599.0,5882.0,65.65878295898439,65.65878295898439,0.0,65.65878295898439,692.0,48.50854320000001,9.0982005,driving,48.52028079999999,9.0528069,False,False,-262.01361307254035,-266.3376560891347
9,3484.0,5765.0,58.97103881835938,58.97103881835938,0.0,58.97103881835938,687.0,48.50915379999999,9.0968965,driving,48.52028079999999,9.0528069,False,False,-232.24918778271638,-240.71558594458054
10,3392.0,5672.0,54.20208740234375,54.20208740234375,0.0,54.20208740234375,683.0,48.5095404,9.0957777,driving,48.52028079999999,9.0528069,False,False,-208.97973363358346,-220.21792982893714
11,3330.0,5610.0,51.04739379882818,51.04739379882818,0.0,51.04739379882818,681.0,48.509778600000004,9.0950189,driving,48.52028079999999,9.0528069,False,False,-192.65767186989024,-205.70863983796016
12,3278.0,5937.0,39.74072265625,39.74072265625,0.0,39.74072265625,881.0,48.510579299999996,9.0947096,driving,48.52028079999999,9.0528069,False,False,30.78654844978314,8.137861444794794
13,3223.0,5883.0,34.69775390625,34.69775390625,0.0,34.69775390625,875.0,48.5107223,9.0939976,driving,48.52028079999999,9.0528069,False,False,43.13323422442977,16.78319934001638
14,3360.0,7503.0,81.86166381835938,81.86166381835938,0.0,81.86166381835938,1041.0,48.51447169999999,9.0974341,driving,48.52028079999999,9.0528069,False,False,131.1620988433192,146.30299403737354
15,3316.0,7438.0,77.2778625488282,77.2778625488282,0.0,77.2778625488282,1022.0,48.514979100000005,9.096982800000001,driving,48.52028079999999,9.0528069,False,False,127.35185944017462,139.01926435355085
16,3317.0,7426.0,75.01422119140625,75.01422119140625,0.0,75.01422119140625,1019.0,48.51508629999999,9.097017300000001,driving,48.52028079999999,9.0528069,False,False,126.21493871787254,135.7529854827286
17,2867.0,5616.0,-19.767822265625,19.767822265625,19.767822265625,0.0,698.0,48.5186443,9.0915407,driving,48.52028079999999,9.0528069,False,False,-31.63227405635655,-65.42152264727679
18,2917.0,5722.0,-20.178436279296815,20.178436279296815,20.178436279296815,0.0,702.0,48.5194636,9.0922769,driving,48.52028079999999,9.0528069,False,False,-40.41836790233174,-74.73546618838725
19,2968.0,5839.0,-19.30078125,19.30078125,19.30078125,0.0,706.0,48.52040359999999,9.0929875,driving,48.52028079999999,9.0528069,False,False,-48.25104493818867,-84.31568860031996
20,3024.0,5961.0,-20.096038818359435,20.096038818359435,20.096038818359435,0.0,710.0,48.521398,9.0937073,driving,48.52028079999999,9.0528069,False,False,-58.88424638938807,-95.2273053663638
21,3116.0,6459.0,-22.681793212890625,22.681793212890625,22.681793212890625,0.0,761.0,48.522416,9.0948638,driving,48.52028079999999,9.0528069,False,False,-33.11758329349857,-68.72496148200707
22,3100.0,5825.0,-21.896575927734432,21.896575927734432,21.896575927734432,0.0,819.0,48.5234574,9.0945009,driving,48.52028079999999,9.0528069,False,False,29.583740291558,-6.464499548851791
23,3095.0,4706.0,-23.343475341796818,23.343475341796818,23.343475341796818,0.0,789.0,48.5256972,9.0939075,driving,48.52028079999999,9.0528069,False,False,-0.5253687232373068,-35.133105194740665
24,3177.0,4799.0,-23.640350341796818,23.640350341796818,23.640350341796818,0.0,806.0,48.52623879999999,9.0948708,driving,48.52028079999999,9.0528069,False,False,-4.143397227254923,-39.96797260216192
25,3207.0,14069.0,-23.7987060546875,23.7987060546875,23.7987060546875,0.0,1543.0,48.52758439999999,9.094802,driving,48.52028079999999,9.0528069,False,False,725.2670298341563,689.0436612731718
26,3244.0,4757.0,-23.488037109375,23.488037109375,23.488037109375,0.0,789.0,48.52891029999999,9.0947568,driving,48.52028079999999,9.0528069,False,False,-37.62155611100786,-74.80865694725003
27,3287.0,4693.0,-18.71392822265625,18.71392822265625,18.71392822265625,0.0,855.0,48.53024780000001,9.0947008,driving,48.52028079999999,9.0528069,False,False,22.164223350230145,-20.258648392605096
28,3315.0,4526.0,43.60498046875,43.60498046875,0.0,43.60498046875,797.0,48.5318365,9.0941728,driving,48.52028079999999,9.0528069,False,False,-65.99570365772661,-85.71445677562701
29,3374.0,4620.0,44.719085693359375,44.719085693359375,0.0,44.719085693359375,820.0,48.53254520000001,9.0945832,driving,48.52028079999999,9.0528069,False,False,-58.670460869880344,-78.42491015413736
30,3373.0,4749.0,49.23583984375,49.23583984375,0.0,49.23583984375,796.0,48.5338948,9.0936166,driving,48.52028079999999,9.0528069,False,False,-86.63486300923387,-102.15863128331512
31,3475.0,4644.0,51.35601806640625,51.35601806640625,0.0,51.35601806640625,773.0,48.53567409999999,9.0937511,driving,48.52028079999999,9.0528069,False,False,-136.91461763421057,-152.31907610718065
32,3587.0,5094.0,50.41720581054688,50.41720581054688,0.0,50.41720581054688,864.0,48.5367398,9.094569199999999,driving,48.52028079999999,9.0528069,False,False,-72.8220913737091,-91.1423096392682
